,product_name,year_month_m,warehouse_inventory,inventory_cost_per_unit
0,Perfect Fitness Perfect Rip Deck,201712,0,0.69517
1,Nike Men's Dri-FIT Victory Golf Polo,201712,2,1.29291
2,O'Brien Men's Neoprene Life Vest,201712,0,0.56531
3,Nike Men's Free 5.0+ Running Shoe,201712,1,1.26321
4,Under Armour Girls' Toddler Spine Surge Runni,201712,0,1.47648
5,Nike Men's CJ Elite 2 TD Football Cleat,201712,0,0.69591
6,Field & Stream Sportsman 16 Gun Fire Safe,201712,0,1.39148
7,Pelican Sunstream 100 Kayak,201712,0,0.20291
8,Diamondback Women's Serene Classic Comfort Bi,201712,0,1.54601
9,ENO Atlas Hammock Straps,201712,0,0.48119
10,Nike Men's Comfort 2 Slide,201712,0,1.96183
11,adidas Youth Germany Black/Red Away Match Soc,201712,0,2.07809
12,Team Golf St. Louis Cardinals Putter Grip,201712,0,0.6607
13,LIJA Women's Eyelet Sleeveless Golf Polo,201712,0,1.50903
14,adidas Men's F10 Messi TRX FG Soccer Cleat,201712,0,1.66425
15,Glove It Women's Imperial Golf Glove,201712,0,1.56399
16,Glove It Imperial Golf Towel,201712,0,2.24724
17,Bridgestone e6 Straight Distance NFL Carolina,201712,0,1.06684
18,Glove It Women's Mod Oval 3-Zip Carry All Gol,201712,2,2.16158
19,Columbia Men's PFG Anchor Tough T-Shirt,201712,0,0.47667
20,Under Armour Women's Ignite Slide,201712,2,1.00809
21,Team Golf Tennessee Volunteers Putter Grip,201712,0,0.35118
22,Titleist Pro V1x High Numbers Personalized Go,201712,0,0.75101
23,Nike Men's Deutschland Weltmeister Winners Bl,201712,0,1.00566
24,Bridgestone e6 Straight Distance NFL San Dieg,201712,0,0.20643
25,Nike Women's Tempo Shorts,201712,0,1.62777
26,Team Golf Texas Longhorns Putter Grip,201712,2,2.24605
27,Hirzl Women's Soffft Flex Golf Glove,201712,0,0.5795
28,Clicgear 8.0 Shoe Brush,201712,0,1.39674
29,Hirzl Women's Hybrid Golf Glove,201712,0,1.06069
30,Team Golf Pittsburgh Steelers Putter Grip,201712,0,0.43135
31,Top Flite Women's 2017 XL Hybrid,201712,0,0.55428
32,Glove It Urban Brick Golf Towel,201712,0,0.70054
33,Nike Dri-FIT Crew Sock 6 Pack,201712,0,1.5948
34,TYR Boys' Team Digi Jammer,201712,0,0.63609
35,Team Golf San Francisco Giants Putter Grip,201712,0,1.88895
36,Clicgear Rovic Cooler Bag,201712,0,1.29098
37,Hirzl Men's Hybrid Golf Glove,201712,0,1.06017
38,Titleist Pro V1x Golf Balls,201712,0,0.24553
39,adidas Men's Germany Black Crest Away Tee,201712,0,1.27932
40,Titleist Pro V1 High Numbers Personalized Gol,201712,0,0.94013
41,Under Armour Women's Micro G Skulpt Running S,201712,0,2.31993
42,Under Armour Hustle Storm Medium Duffle Bag,201712,1,1.0308
43,Under Armour Women's Ignite PIP VI Slide,201712,0,1.88977
44,Bag Boy Beverage Holder,201712,0,0.73373
45,Under Armour Men's Tech II T-Shirt,201712,0,0.88756
46,Team Golf New England Patriots Putter Grip,201712,0,1.88503
47,Under Armour Men's Compression EV SL Slide,201712,0,0.77155
48,Bridgestone e6 Straight Distance NFL Tennesse,201712,0,0.83715
49,Glove It Women's Mod Oval Golf Glove,201712,0,0.79216
50,Titleist Pro V1x High Numbers Golf Balls,201712,0,0.4519
51,Nike Women's Legend V-Neck T-Shirt,201712,0,1.72672
52,Under Armour Kids' Mercenary Slide,201712,0,0.30745
53,adidas Kids' F5 Messi FG Soccer Cleat,201712,0,0.28923
54,Children's heaters,201712,0,0.33793
55,Web Camera,201712,0,1.1257
56,Dell Laptop,201712,14,1.56369
57,Porcelain crafts,201712,0,1.27555
58,Sports Books,201712,2,0.99933
59,DVDs,201712,64,2.03553
60,Industrial consumer electronics,201712,0,1.98371
61,Fighting video games,201712,4,1.87778
62,Summer dresses,201712,13,1.3625
63,Lawn mower,201712,4,1.34376
64,Adult dog supplies,201712,2,2.07928
65,Rock music,201712,16,2.26272
66,Elevation Training Mask 2.0,201712,0,2.01992
67,LIJA Women's Mid-Length Panel Golf Shorts,201712,0,1.87068
68,Toys,201712,133,0.19512
69,Brooks Women's Ghost 6 Running Shoe,201712,0,0.87784
70,Bag Boy M330 Push Cart,201712,0,0.89532
71,Merrell Women's Grassbow Sport Hiking Shoe,201712,0,2.33326
72,Nike Men's Free TR 5.0 TB Training Shoe,201712,0,1.64028
73,Nike Women's Free 5.0 TR FIT PRT 4 Training S,201712,0,0.76304
74,First aid kit,201712,18,0.18893
75,CDs of rock,201712,0,1.2039
76,Polar FT4 Heart Rate Monitor,201712,0,1.91129
77,LIJA Women's Argyle Golf Polo,201712,0,0.42388
78,TaylorMade White Smoke IN-12 Putter,201712,0,1.5587
79,Fitbit The One Wireless Activity & Sleep Trac,201712,0,0.35075
80,Nike Kids' Grade School KD VI Basketball Shoe,201712,0,1.44465
81,The North Face Women's Recon Backpack,201712,0,0.28817
82,Smart watch,201712,42,1.58784
83,Baby sweater,201712,0,2.06503
84,MDGolf Pittsburgh Penguins Putter,201712,0,1.1476
85,Men's gala suit,201712,3,1.57465
86,Merrell Men's All Out Flash Trail Running Sho,201712,0,0.24096
87,Garmin Approach S3 Golf GPS Watch,201712,0,1.09327
88,LIJA Women's Button Golf Dress,201712,0,1.1183
89,Cleveland Golf Women's 588 RTX CB Satin Chrom,201712,0,1.26731
90,Merrell Women's Siren Mid Waterproof Hiking B,201712,0,1.74796
91,TaylorMade Women's RBZ SL Rescue,201712,0,1.3918
92,Mio ALPHA Heart Rate Monitor/Sport Watch,201712,0,2.08941
93,TaylorMade 2017 Purelite Stand Bag,201712,0,0.95654
94,Cleveland Golf Collegiate My Custom Wedge 588,201712,0,0.66784
95,adidas Brazuca 2017 Official Match Ball,201712,0,1.0839
96,Nike Men's Fingertrap Max Training Shoe,201712,0,0.90172
97,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201712,0,1.60391
98,Nike Men's Kobe IX Elite Low Basketball Shoe,201712,0,0.43288
99,Ogio Race Golf Shoes,201712,0,0.34053
100,insta-bed Neverflat Air Mattress,201712,0,2.22542
101,GolfBuddy VT3 GPS Watch,201712,0,1.59059
102,Merrell Women's Grassbow Sport Waterproof Hik,201712,0,0.93751
103,Titleist Small Wheeled Travel Cover,201712,0,0.61532
104,Polar Loop Activity Tracker,201712,0,2.27348
